,image_name,popularity_score,partial_faces,is_female,baby,child,teenager,youth,middle_age,senior
0,00a454da495e11e28a7322000a1fa414_6,3.9010000000000002,1,1,-1,-1,-1,1,-1,-1
1,00cddb96ac4c11e3a30212279ba1b65f_6,4.385,1,1,-1,-1,-1,-1,-1,-1
2,01cdd7aa1a1a11e2aaa822000a1fb0dd_6,4.243,-1,1,-1,-1,1,-1,-1,-1
3,024696bead0c11e389d50ec42b3b1b1c_6,4.169,-1,-1,-1,-1,1,-1,-1,-1
4,026df048221a11e2b52122000a1fa4b5_6,3.873,-1,1,-1,-1,-1,-1,1,-1
5,02b511eed26911e2851d22000a1fb71f_6,4.458,1,1,-1,-1,1,-1,-1,-1
6,02ee8060b02f11e38fe012b1c8928cc9_6,4.678999999999999,-1,1,-1,-1,1,-1,-1,-1
7,0303318e48cc11e2970f22000a1fbcc2_6,4.042,-1,1,-1,-1,-1,1,-1,-1
8,032a49b6bffb11e3b9ca0002c9dbcd18_6,3.76,-1,1,-1,-1,1,-1,-1,-1
9,0345a4babff911e395860002c954a07e_6,3.302,-1,1,-1,-1,1,-1,-1,-1
10,03d27058678811e394b70a1cf42a31d4_6,4.263999999999999,1,1,-1,-1,1,-1,-1,-1
11,044c14a2bff911e396ce0002c9de8044_6,4.564,-1,1,-1,-1,-1,1,-1,-1
12,049a7d4eaeb611e3ace012fd0faf6414_6,4.981,1,1,-1,-1,-1,-1,1,-1
13,04ed1c2ebffb11e38f8c0002c9dced72_6,5.318,-1,1,-1,-1,-1,1,-1,-1
14,0598ce50b1f711e3bd391271df4caaa4_6,5.932,-1,-1,-1,-1,-1,1,-1,-1
15,05b81dfec0d011e386200002c9dc8af0_6,3.915,-1,1,-1,-1,-1,1,-1,-1
16,05db7b34b9aa11e1a9f71231382044a1_6,4.158,-1,1,-1,-1,-1,-1,1,-1
17,061897ee69b811e2896422000a1fb003_6,4.322,-1,1,-1,-1,-1,1,-1,-1
18,06c71a9ead0011e3879b129cfeadffe8_6,4.336,-1,1,-1,-1,-1,1,-1,-1
19,06eade16a91311e3910112bbf73ae200_6,4.7330000000000005,-1,-1,-1,-1,-1,1,-1,-1
20,07e0f2f2ae0d11e3a3831276c6841a0e_6,3.512,-1,1,-1,-1,-1,-1,1,-1
21,07f71a82232111e29ade22000a1f9bd0_6,3.471,-1,-1,-1,-1,1,-1,-1,-1
22,08789b680ef111e39dc922000a1fbb59_6,4.835,-1,1,-1,-1,-1,1,-1,-1
23,0911f832bffc11e38cea0002c9bef49e_6,3.635,1,1,-1,-1,-1,1,-1,-1
24,09c32e5ca83911e3a5ea0a7cffb7c5e1_6,3.563,-1,1,-1,1,-1,-1,-1,-1
25,09c515c4ad0611e3ae221212d5b5af4c_6,4.742,-1,-1,-1,-1,-1,1,-1,-1
26,09cf370a997b11e38a690ed861720702_6,4.306,-1,1,-1,1,-1,-1,-1,-1
27,0a164a9cb82011e2982f22000a9f3c23_6,4.341,-1,-1,-1,-1,-1,1,-1,-1
28,0a7c576672f111e29f1422000a1fbc0e_6,4.377,-1,1,-1,-1,-1,1,-1,-1
29,0a80403abd8b11e2bccd22000ae91234_6,4.285,-1,-1,-1,-1,-1,-1,1,-1
30,0afcab66332e11e3926322000aaa0aa5_6,4.596,-1,1,-1,-1,-1,1,-1,-1
31,0b3b3e5aac3011e3b691128442c788aa_6,4.184,1,1,-1,-1,-1,1,-1,-1
32,0c293e5cb3c911e3abd212eddce84025_6,4.8389999999999995,-1,1,-1,-1,1,-1,-1,-1
33,0c5abda8a6f711e3aedb125d9a40ea40_6,4.102,-1,1,-1,-1,1,-1,-1,-1
34,0ce4ee9abe1911e386f10002c955f0ae_6,3.742,-1,1,-1,-1,-1,1,-1,-1
35,0dabcf40c0e611e388890002c9ce57aa_6,5.644,-1,1,-1,-1,-1,1,-1,-1
36,0deb3814d0ec11e29b6422000aa80460_6,3.123,-1,1,-1,-1,1,-1,-1,-1
37,0ea69de8aaf811e39e3d1241a3f957e9_6,4.62,-1,1,-1,-1,-1,1,-1,-1
38,0efa0f44f7b311e287c922000aeb0d21_6,2.5669999999999997,-1,-1,-1,-1,-1,1,-1,-1
39,0f04c5c2bffb11e39f0b0002c9d07a7c_6,3.56,-1,-1,-1,-1,-1,1,-1,-1
40,0f330b14ad3e11e3ade30e574d92f38f_6,4.166,1,1,-1,-1,-1,1,-1,-1
41,0f635414f5a011e2b05d22000a1f9375_6,4.47,-1,-1,-1,-1,-1,1,-1,-1
42,10004079_1374851766130968_2065152224_a,4.394,1,1,-1,-1,-1,1,-1,-1
43,10004079_1395112570767342_362745646_a,4.459,-1,1,-1,-1,-1,1,-1,-1
44,10004079_1437144529857040_1053812165_a,4.82,-1,1,-1,-1,-1,1,-1,-1
45,10004079_1477546595790322_1481298656_a,4.5680000000000005,-1,-1,-1,-1,-1,1,-1,-1
46,10004079_215814915296430_2121357552_a,4.756,-1,1,-1,-1,-1,1,-1,-1
47,10004079_283425641820015_1349262783_a,4.7010000000000005,-1,-1,-1,-1,-1,1,-1,-1
48,10004079_445585718920943_436891664_a,3.674,-1,-1,-1,-1,-1,1,-1,-1
49,10004079_642830962436641_919235955_a,3.694,-1,1,-1,-1,-1,1,-1,-1
50,10004079_644027062329932_1635781132_a,4.078,-1,1,-1,-1,-1,1,-1,-1
51,10004079_685361111510616_12864975_a,4.605,-1,1,-1,-1,-1,1,-1,-1
52,10004079_746853488679307_1965987773_a,4.754,-1,1,-1,-1,-1,1,-1,-1
53,10004079_863464860346532_497520081_a,4.356,1,1,-1,-1,-1,-1,-1,-1
54,10004084_1382577875324394_334893506_a,4.609,1,1,-1,-1,-1,1,-1,-1
55,10004084_1425149791068600_2132738309_a,4.648,1,1,-1,-1,-1,1,-1,-1
56,10004084_231339117058028_2147176370_a,4.364,1,1,-1,-1,-1,1,-1,-1
57,10004084_257394017798698_768303981_a,4.382,-1,1,-1,-1,-1,1,-1,-1
58,10004084_275512359284893_1858899520_a,4.119,1,1,-1,-1,-1,1,-1,-1
59,10004084_294718917350790_1870880963_a,4.4830000000000005,-1,1,-1,-1,-1,1,-1,-1
60,10004084_303250619828364_171545150_a,4.72,1,1,-1,-1,-1,1,-1,-1
61,10004084_458659367570252_2128364309_a,4.82,1,1,-1,-1,1,-1,-1,-1
62,10004084_490479724385550_825223763_a,3.6289999999999996,1,1,-1,-1,-1,1,-1,-1
63,10004084_506899302747244_15641344_a,4.671,1,0,-1,-1,-1,1,-1,-1
64,10004084_621152414645914_1430393148_a,4.329,1,1,-1,-1,-1,1,-1,-1
65,10004084_676072672456827_1887668154_a,4.699,-1,-1,-1,-1,-1,1,-1,-1
66,10004084_743363189036874_596729900_a,4.12,1,1,-1,-1,-1,-1,-1,-1
67,10004084_750997008251861_260118696_a,4.152,-1,1,-1,-1,-1,1,-1,-1
68,10004084_762894500402385_176876052_a,4.534,-1,1,-1,-1,-1,1,-1,-1
69,10004084_767169593301331_790834329_a,3.6830000000000003,1,1,-1,-1,-1,-1,-1,-1
70,10004085_1408953856037252_1857245578_a,4.434,-1,1,-1,-1,-1,1,-1,-1
71,10004092_134214280087075_570342198_a,4.561,1,1,-1,-1,1,-1,-1,-1
72,10004092_1393712257574104_1423087836_a,4.1160000000000005,-1,-1,-1,-1,-1,1,-1,-1
73,10004092_1410211015913222_972579773_a,3.786,-1,-1,-1,-1,-1,1,-1,-1
74,10004092_1464293763802357_95507738_a,4.896,1,1,-1,-1,-1,-1,-1,-1
